Komento 	Käyttö 	Mitä komento tekee?
!battle 	Komento ja perään vaihtoehdot pilkulla eroteltuna. !battle mustikka,mansikka 	Arpoo prosentit annetuille asioille. Chuck Norris on aina 100%.
!define 	Komento, sana, lause. !define nakki Pieni makkara. 	Määrittelee asian. Ei vielä täysin testattu.
!google 	Komento ja hakusana. !google Englannin kuningatar 	Hakee Googlesta ja palauttaa ensimmäisen hakutuloksen.
!horo 	Komento ja oma horoskooppi. !horo skorpioni. Toimii myös lyhentämällä sanan: !horo sko

	Näyttää päivän horoskoopin.
!do 	Pelkkä komento riittää. 	Jos on tylsää, tällä komennolla saa tekemisvinkkejä.
!math 	Komento ja laskutoimitus. Tukee peruslaskutoimitusten lisäksi esim: !math 3043*(202+34), !math sqrt(5)*s(5), !math scale=2; 1/2 	Laskee laskutoimituksen.
!pvm 	Komento riittää. 	Kertoo päivän ja tietoja päivästä, esim. juhlapyhät ja nimipäivät.
!quote id 	Tämä sisältää monta muutakin komentoa, joita tosin voi käyttää vain ylläpitäjä. Tällä komennolla voit etsiä quotea !findquote hakusana, tällä etsit quoteja jotka on lisännyt tietty nick: !quoteauth rolle 	Lisää/poistaa/etsii/näyttää quoteja.
!leffa 	Toimii myös komennolla !elokuva 	Kertoo satunnaisen elokuvan nimen ja osoitteen.
!muistuta 	Esimerkiksi !muistuta rolle ”tomorrow 10:00″ Soita patelle tai !muistuta rolle ”2009-12-31 23:59″ Hyvää uutta vuotta! tai !muistuta rolle ”10 min” munat pois hellalta. Jos unohdat muistuttajan käytön, kirjoita !muistuttaja 	Muistuttaa asioista haluttuun aikaan halutulle käyttäjälle.
!päivänquote 	Komento jota Rolle harvemmin päivittää. Riittää itsessään eikä sisällä kuin yhden toiminnon. 	Kertoo jonkun yhden sillä hetkellä asetetun hassunhauskan quoten kanavalta.
!statsit 	Riittää itsessään. Toimii myös komento !tilastot 	Kertoo statsien osoitteen.
!statsit2 	Riittää itsessään. 	Kertoo Nicdin ylläpitämien statsien osoitteen.
!kuukausistatsit 	Riittää itsessään. 	Kertoo osoitteen kuukausitilastoihin.
!komennot 	Sama komento toimii myös !ohje tai !apua 	Antaa linkin tälle sivulle.
!linkit 	Toimii myös !urlit tai !urls 	Näyttää linkkisivun osoitteen.
!miitit 	Riittää itsessään. 	Kertoo miittisivun osoitteen.
!toptod 	Toimii myös !top tai !pojot 	Kertoo päivän kovimmat pulisijat. Yleisön pyynnöstä heittää noticena ja toimii myös privassa.
